time,cell,pdu,measured_power_util,production_power_util
2041200000000,a,pdu6,0.7400,0.6190
2033100000000,a,pdu6,0.7400,0.6190
2028600000000,a,pdu6,0.7340,0.6190
2024400000000,a,pdu6,0.7340,0.6190
641100000000,a,pdu6,0.7340,0.6190
737400000000,a,pdu6,0.7570,0.6190
827700000000,a,pdu6,0.7570,0.6190
1066200000000,a,pdu6,0.7510,0.6190
799500000000,a,pdu6,0.7510,0.6190
737700000000,a,pdu6,0.7510,0.6190
723900000000,a,pdu6,0.7450,0.6190
643200000000,a,pdu6,0.7390,0.6190
2039100000000,a,pdu6,0.7390,0.6190
1936800000000,a,pdu6,0.7330,0.6190
2029500000000,a,pdu6,0.7330,0.6190
1842300000000,a,pdu6,0.7270,0.6190
803100000000,a,pdu6,0.7620,0.6190
1260000000000,a,pdu6,0.7560,0.6190
811200000000,a,pdu6,0.7560,0.6190
814800000000,a,pdu6,0.7560,0.6190
814500000000,a,pdu6,0.7560,0.6190
740400000000,a,pdu6,0.7560,0.6190
710700000000,a,pdu6,0.7500,0.6130
1263600000000,a,pdu6,0.7500,0.6130
2619900000000,a,pdu6,0.7440,0.6130
1074600000000,a,pdu6,0.7380,0.6130
648600000000,a,pdu6,0.7380,0.6130
2033700000000,a,pdu6,0.7380,0.6130
1965900000000,a,pdu6,0.7380,0.6130
1061400000000,a,pdu6,0.7380,0.6130
2623200000000,a,pdu6,0.7380,0.6130
2615400000000,a,pdu6,0.7320,0.6130
2456400000000,a,pdu6,0.7320,0.6130
2634000000000,a,pdu6,0.7320,0.6130
2377800000000,a,pdu6,0.7320,0.6130
1312800000000,a,pdu6,0.7320,0.6130
2637600000000,a,pdu6,0.7320,0.6130
2445300000000,a,pdu6,0.7320,0.6130
630900000000,a,pdu6,0.7260,0.6130
2545800000000,a,pdu6,0.7260,0.6130
630600000000,a,pdu6,0.7260,0.6130
720600000000,a,pdu6,0.7200,0.6130
2354400000000,a,pdu6,0.7200,0.6130
2352900000000,a,pdu6,0.7200,0.6130
1961700000000,a,pdu6,0.7200,0.6130
1839000000000,a,pdu6,0.7200,0.6130
1234200000000,a,pdu6,0.7080,0.6130
2404800000000,a,pdu6,0.7080,0.6130
2451600000000,a,pdu6,0.7020,0.6130
2451000000000,a,pdu6,0.6960,0.6130
1062000000000,a,pdu6,0.7610,0.6130
1314600000000,a,pdu6,0.7610,0.6130
1318800000000,a,pdu6,0.7550,0.6130
712200000000,a,pdu6,0.7490,0.6130
1263300000000,a,pdu6,0.7490,0.6130
1260900000000,a,pdu6,0.7490,0.6130
795000000000,a,pdu6,0.7430,0.6130
2397300000000,a,pdu6,0.7370,0.6130
1079100000000,a,pdu6,0.7370,0.6130
2039400000000,a,pdu6,0.7370,0.6130
2400300000000,a,pdu6,0.7370,0.6130
646500000000,a,pdu6,0.7370,0.6130
2624400000000,a,pdu6,0.7370,0.6130
725100000000,a,pdu6,0.7370,0.6130
648300000000,a,pdu6,0.7370,0.6130
1945200000000,a,pdu6,0.7370,0.6130
2442300000000,a,pdu6,0.7370,0.6130
1351800000000,a,pdu6,0.7370,0.6130
2442900000000,a,pdu6,0.7310,0.6130
2439300000000,a,pdu6,0.7310,0.6130
2615700000000,a,pdu6,0.7310,0.6130
1964700000000,a,pdu6,0.7310,0.6130
2554200000000,a,pdu6,0.7310,0.6130
790500000000,a,pdu6,0.7310,0.6130
1864500000000,a,pdu6,0.7310,0.6130
1834800000000,a,pdu6,0.7310,0.6130
2454600000000,a,pdu6,0.7310,0.6130
647400000000,a,pdu6,0.7310,0.6130
647100000000,a,pdu6,0.7310,0.6130
1957200000000,a,pdu6,0.7250,0.6130
2628900000000,a,pdu6,0.7250,0.6130
732900000000,a,pdu6,0.7250,0.6130
1869600000000,a,pdu6,0.7250,0.6130
2459400000000,a,pdu6,0.7250,0.6130
1962600000000,a,pdu6,0.7250,0.6130
2549700000000,a,pdu6,0.7190,0.6130
2006400000000,a,pdu6,0.7190,0.6130
2019900000000,a,pdu6,0.7070,0.6130
2366700000000,a,pdu6,0.6950,0.6130
2539200000000,a,pdu6,0.6890,0.6130
1236000000000,a,pdu6,0.6890,0.6130
1235700000000,a,pdu6,0.6890,0.6130
2365800000000,a,pdu6,0.6830,0.6130
2539800000000,a,pdu6,0.6830,0.6130
